0.530,0.449,0.464,0.477,0.510,0.521,0.491,0.545,0.464,0.403,1
0.452,0.501,0.555,0.498,0.561,0.516,0.505,0.499,0.539,0.491,0
0.470,0.545,0.501,0.518,0.511,0.509,0.508,0.488,0.499,0.515,0
0.516,0.542,0.509,0.504,0.494,0.506,0.428,0.490,0.589,0.519,0
0.501,0.527,0.495,0.521,0.522,0.497,0.504,0.498,0.496,0.512,1
0.513,0.5,0.5,0.530,0.457,0.537,0.615,0.532,0.512,0.510,0
0.533,0.514,0.495,0.494,0.505,0.456,0.496,0.575,0.529,0.491,1
0.492,0.461,0.478,0.456,0.475,0.511,0.471,0.458,0.470,0.460,1
0.515,0.458,0.442,0.490,0.476,0.432,0.418,0.5,0.504,0.496,0
0.5,0.506,0.496,0.486,0.463,0.449,0.55,0.421,0.496,0.479,1
0.497,0.487,0.484,0.490,0.498,0.506,0.484,0.488,0.498,0.493,0
0.489,0.503,0.627,0.416,0.512,0.510,0.506,0.499,0.623,0.552,0
0.464,0.490,0.487,0.501,0.448,0.456,0.466,0.448,0.487,0.471,0
0.487,0.490,0.470,0.467,0.491,0.497,0.432,0.546,0.442,0.446,0
0.496,0.510,0.471,0.476,0.520,0.522,0.546,0.543,0.517,0.495,0
0.506,0.403,0.504,0.471,0.498,0.457,0.468,0.495,0.491,0.478,0
0.519,0.495,0.501,0.509,0.523,0.504,0.504,0.479,0.529,0.503,1
0.515,0.502,0.504,0.498,0.527,0.506,0.504,0.569,0.502,0.508,0
0.477,0.420,0.455,0.502,0.459,0.474,0.473,0.351,0.424,0.460,1
0.539,0.515,0.487,0.416,0.476,0.477,0.487,0.333,0.450,0.501,1
0.519,0.504,0.521,0.627,0.627,0.627,0.511,0.512,0.627,0.528,0
0.525,0.496,0.394,0.393,0.502,0.498,0.686,0.529,0.5,0.502,1
0.505,0.502,0.509,0.499,0.466,0.511,0.551,0.531,0.497,0.477,1
0.500,0.491,0.487,0.480,0.498,0.485,0.494,0.466,0.510,0.497,0
0.488,0.536,0.480,0.507,0.491,0.538,0.517,0.476,0.474,0.484,1
0.602,0.471,0.497,0.509,0.515,0.513,0.485,0.470,0.377,0.457,1
0.507,0.361,0.473,0.488,0.48,0.503,0.531,0.494,0.509,0.489,1
0.482,0.502,0.472,0.471,0.488,0.491,0.480,0.516,0.497,0.477,0
0.430,0.449,0.49,0.495,0.487,0.538,0.479,0.452,0.473,0.429,1
0.542,0.8,0.495,0.483,0.480,0.502,0.612,0.583,0.492,0.576,0
0.523,0.470,0.496,0.494,0.492,0.434,0.552,0.493,0.550,0.476,0
0.523,0.517,0.500,0.502,0.532,0.490,0.485,0.482,0.477,0.476,1
0.500,0.485,0.482,0.2,0.489,0.478,0.428,0.460,0.498,0.430,1
0.468,0.5,0.483,0.4,0.500,0.498,0.507,0.478,0.515,0.501,1
0.487,0.482,0.521,0.475,0.507,0.529,0.497,0.484,0.482,0.528,0
0.493,0.470,0.461,0.492,0.430,0.445,0.480,0.5,0.480,0.495,0
0.539,0.513,0.492,0.482,0.540,0.483,0.500,0.500,0.456,0.484,0
0.494,0.434,0.477,0.511,0.484,0.472,0.505,0.497,0.514,0.494,1
0.520,0.510,0.486,0.411,0.485,0.505,0.493,0.469,0.397,0.517,1
0.525,0.48,0.485,0.467,0.482,0.573,0.486,0.486,0.481,0.509,0
