0.463,0.488,0.595,0.714,0.465,0.642,0.491,0.55,0.481,0.611,1
0.451,0.517,0.7,0.482,0.487,0.516,0.692,0.380,0.541,0.513,0
0.522,0.515,0.510,0.488,0.518,0.497,0.696,0.292,0.292,0.519,0
0.517,0.517,0.488,0.344,0.450,0.524,0.508,0.923,0.923,0.409,0
0.285,0.566,0.507,0.481,0.5,0.496,0.482,0.514,0.529,0.546,1
0.501,0.461,0.484,0.484,0.557,0.507,0.487,0.486,0.522,0.494,0
0.589,0.589,0.566,0.510,0.512,0.490,0.532,0.530,0.511,0.515,1
0.506,0.421,0.343,0.086,0.315,0.3,0.357,0.625,0.513,0.470,1
0.363,0.2,0.625,0.484,0.238,0.5,0.487,0.352,0.5,0.5,0
0.466,0.562,0.3,0.488,0.388,0.517,0.684,0.483,0.5,0.471,1
0.181,0.487,0.515,0.507,0.507,0.5,0.515,0.571,0.476,0.507,0
0.488,0.490,0.538,0.435,0.548,0.5,0.538,0.609,0.785,0.522,0
0.321,0.48,0.142,0.4,0.477,0.471,0.28,0.521,0.230,0.294,0
0.477,0.420,0.473,0.528,0.608,0.468,0.327,0.5,0.294,0.508,0
0.513,0.458,0.473,0.489,0.687,0.492,0.522,0.785,0.517,0.502,0
0.498,0.5,0.5,0.437,0.55,0.558,0.474,0.588,0.476,0.35,0
0.485,0.5,0.489,0.526,0.536,0.522,0.461,0.432,0.557,0.517,1
0.507,0.578,0.512,0.519,0.552,0.507,0.507,0.52,0.513,0.581,0
0.545,0.230,0.473,0.733,0.432,0.542,0.346,0.382,0.498,0.466,1
0.513,0.3,0.514,0.510,0.516,0.521,0.25,0.1,0.5,0.504,1
0.514,0.502,0.511,0.527,0.527,0.527,0.551,0.545,0.527,0.581,0
0.580,0.692,0.518,0.477,0.512,0.498,0.498,0.724,0.490,0.504,1
0.581,0.496,0.514,0.459,0.7,0.578,0.524,0.512,0.676,0.491,1
0.277,0.555,0.5,0.503,0.536,0.5,0.470,0.457,0.551,0.433,0
0.555,0.577,0.484,0.485,0.524,0.630,0.502,0.552,0.451,0.489,1
0.1,0.4,0.285,0.442,0.465,0.480,0.531,0.5,0.207,0.433,1
0.5,0.470,0.9,0.655,0.489,0.488,0.480,0.480,0.513,0.516,1
0.5,0.466,0.457,0.484,0.523,0.260,0.481,0.5,0.505,0.542,0
0.45,0.421,0.2,0.437,0.489,0.428,0.387,0.485,0.258,0.4,1
0.496,0.469,0.504,0.542,0.550,0.495,0.500,0.504,0.512,0.501,0
0.533,0.657,0.5,0.489,0.244,0.587,0.568,0.418,0.487,0.230,0
0.496,0.740,0.542,0.630,0.505,0.605,0.733,0.519,0.479,0.552,1
0.616,0.566,0.536,0.545,0.485,0.478,0.311,0.562,0.479,0.490,1
0.558,0.497,0.466,0.545,0.504,0.739,0.505,0.485,0.505,0.479,1
0.642,0.469,0.493,0.495,0.3,0.490,0.507,0.481,0.484,0.513,0
0.497,0.481,0.551,0.490,0.448,0.297,0.467,0.571,0.230,0.4,0
0.479,0.608,0.468,0.534,0.642,0.519,0.466,0.325,0.529,0.512,0
0.142,0.333,0.416,0.524,0.518,0.472,0.477,0.5,0.6,0.481,1
0.472,0.521,0.498,0.505,0.714,0.567,0.5,0.508,0.5,0.512,1
0.492,0.492,0.619,0.497,0.540,0.487,0.380,0.422,0.485,0.567,0
0.48,0.5,0.547,0.592,0.454,0.522,0.516,0.505,0.544,0.520,0
0.441,0.488,0.594,0.407,0.519,0.586,0.428,0.485,0.481,0.363,1
0.421,0.4,0.512,0.575,0.502,0.505,0.452,0.500,0.614,0.502,1
0.392,0.4,0.548,0.428,0.517,0.299,0.299,0.581,0.547,0.666,1
0.444,0.502,0.312,0.25,0.532,0.472,0.493,0.5,0.431,0.502,0
0.547,0.489,0.448,0.551,0.5,0.458,0.506,0.307,0.442,0.490,0
0.692,0.501,0.515,0.627,0.525,0.584,0.502,0.516,0.555,0.514,1
0.076,0.5,0.549,0.549,0.277,0.428,0.519,0.518,0.5,0.475,0
0.642,0.48,0.519,0.5,0.7,0.34,0.523,0.363,0.478,0.502,1
0.382,0.596,0.552,0.390,0.457,0.789,0.476,0.446,0.642,0.545,1
0.687,0.533,0.546,0.516,0.509,0.522,0.486,0.547,0.498,0.666,0
0.472,0.454,0.783,0.501,0.498,0.535,0.517,0.636,0.486,0.472,0
0.500,0.503,0.549,0.489,0.545,0.493,0.503,0.509,0.505,0.509,1
0.516,0.499,0.472,0.555,0.514,0.612,0.462,0.576,0.333,0.493,0
0.523,0.524,0.5,0.521,0.511,0.512,0.516,0.537,0.523,0.523,1
0.4,0.539,0.481,0.459,0.609,0.431,0.432,0.432,0.520,0.507,0
0.269,0.534,0.463,0.507,0.547,0.487,0.436,0.485,0.486,0.474,1
0.5,0.505,0.501,0.501,0.307,0.2,0.453,0.532,0.532,0.490,1
0.491,0.471,0.4,0.35,0.6,0.368,0.485,0.417,0.75,0.466,0
0.574,0.491,0.513,0.527,0.520,0.620,0.634,0.634,0.632,0.512,0
0.462,0.602,0.486,0.08,0.510,0.534,0.534,0.463,0.344,0.5,0
0.438,0.416,0.428,0.434,0.458,0.304,0.461,0.333,0.482,0.501,0
0.507,0.506,0.461,0.5,0.448,0.454,0.416,0.402,0.3,0.453,0
